year,month,tmean
1999,6,24.33333333
1999,7,27.11111111
1999,8,25.83333333
1999,9,21.38888889
1999,10,14.83333333
1999,11,11.77777778
1999,12,5.222222222
2000,1,3.555555556
2000,2,7.666666667
2000,3,11.66666667
2000,4,13.33333333
2000,5,21.16666667
2000,6,24.16666667
2000,7,25.61111111
2000,8,26.72222222
2000,9,22.11111111
2000,10,16.94444444
2000,11,9.222222222
2000,12,-0.722222222
2001,1,1.222222222
2001,2,7.388888889
2001,3,7.333333333
2001,4,17.72222222
2001,5,19.83333333
2001,6,22.66666667
2001,7,26.11111111
2001,8,25.77777778
2001,9,20.61111111
2001,10,14.5
2001,11,11.88888889
2001,12,7.222222222
2002,1,5.166666667
2002,2,4.722222222
2002,3,9.055555556
2002,4,16.61111111
2002,5,18.66666667
2002,6,24.5
2002,7,26.83333333
2002,8,26.11111111
2002,9,23.88888889
2002,10,16.33333333
2002,11,7.555555556
2002,12,4.777777778
2003,1,0
2003,2,3.333333333
2003,3,10.27777778
2003,4,15.05555556
2003,5,20.22222222
2003,6,21.77777778
2003,7,25.44444444
